0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
22.8515, 0, 2.65416, -0.970866, 1.70049, -1.88396, 0.85761, -2.62832, 0.214945, 3.02592, -0.565582, 2.00208, -1.78752, 0.687065, -3.10508, -0.589565, 1.94093, -1.81589, 0.681491, -3.14159, -0.681491
23.1445, 0, 2.59951, -1.09143, 1.4864, -2.24696, 0.253211, 2.68526, -1.21659, 1.22729, -2.44012, 0.322408, 3.13545, -0.357628, 2.38803, -1.18687, 1.49453, -2.12811, 0.513711, -3.14159, -0.513711
23.4375, 0, 2.60949, -1.06913, 1.52683, -2.17549, 0.377298, 2.88303, -0.970862, 1.37765, -2.53261, 0.00547774, 2.74473, -0.664068, 2.21463, -1.26134, 1.47353, -2.1284, 0.516348, -3.14159, -0.516348
23.7304, 0, 2.62532, -1.03528, 1.58583, -2.07623, 0.543216, -3.12109, -0.496607, 2.13855, -1.49916, 1.1473, -2.49937, 0.125909, 2.74381, -0.927696, 1.6762, -2.01332, 0.568559, -3.14159, -0.568559
24.0234, 0, 2.6315, -1.02332, 1.60501, -2.0449, 0.593806, -3.03862, -0.360045, 2.33807, -1.28071, 1.33298, -2.35861, 0.230728, 2.82424, -0.863189, 1.72942, -1.97129, 0.593568, -3.14159, -0.593568
24.3164, 0, 2.64053, -1.0016, 1.64706, -1.96585, 0.744677, -2.75393, 0.134856, 2.99692, -0.651394, 1.81151, -2.03379, 0.442972, 2.96222, -0.77265, 1.79068, -1.92801, 0.619964, -3.14159, -0.619964
24.6093, 0, 2.62228, -1.04443, 1.56784, -2.10357, 0.507203, 3.12701, -0.503325, 2.18783, -1.40762, 1.24573, -2.41391, 0.191927, 2.78881, -0.902722, 1.68456, -2.01528, 0.564484, -3.14159, -0.564484
24.9023, 0, 2.6372, -1.012, 1.62594, -2.00238, 0.682655, -2.85288, 0.0152071, 2.94613, -0.574778, 1.99085, -1.80895, 0.667244, -3.1178, -0.597137, 1.93394, -1.82437, 0.674622, -3.14159, -0.674622
25.1953, 0, 2.60452, -1.07891, 1.51161, -2.19773, 0.34611, 2.84398, -1.00536, 1.39191, -2.41446, 0.225198, 2.99481, -0.478528, 2.30188, -1.24566, 1.45383, -2.15622, 0.498061, -3.14159, -0.498061
25.4882, 0, 2.63021, -1.0221, 1.61119, -2.03281, 0.615082, -3.00734, -0.324011, 2.38615, -1.18972, 1.4497, -2.27898, 0.248015, 2.79281, -0.923406, 1.65736, -2.03832, 0.551514, -3.14159, -0.551514
25.7812, 0, 2.61903, -1.04886, 1.56021, -2.1245, 0.453072, 2.99473, -0.803484, 1.6239, -2.2008, 0.401212, 3.13509, -0.369193, 2.38959, -1.17204, 1.51517, -2.11028, 0.523157, -3.14159, -0.523157
26.0742, 0, 2.61941, -1.04443, 1.57568, -2.08475, 0.543714, -3.09885, -0.431686, 2.2701, -1.33546, 1.26344, -2.45056, 0.124454, 2.71059, -0.978463, 1.62024, -2.06196, 0.539825, -3.14159, -0.539825
26.3671, 0, 2.63179, -1.01802, 1.61712, -2.02872, 0.609872, -3.04087, -0.427621, 2.14975, -1.57951, 0.995046, -2.67986, -0.0507009, 2.5871, -1.05672, 1.57927, -2.07648, 0.538071, -3.14159, -0.538071
26.6601, 0, 2.61746, -1.04974, 1.56389, -2.10941, 0.493051, 3.0815, -0.64231, 1.85467, -1.99818, 0.599426, -2.85783, -0.0869309, 2.60326, -1.02893, 1.60156, -2.06489, 0.541467, -3.14159, -0.541467
26.9531, 0, 2.62444, -1.03775, 1.57946, -2.09188, 0.508445, 3.08871, -0.648397, 1.8361, -2.0368, 0.388085, 2.98595, -0.513129, 2.30994, -1.20639, 1.49981, -2.11972, 0.517478, -3.14159, -0.517478
